,file_name,pcode,pname,win1,win2,hasbd
1649,8a8180858009115f0180165b6ad15d45.pdf,SNZB-ZKJT-D20226-0071 ,枣庄矿业（集团）济宁岱庄煤业有限公司洗煤厂重介工艺系统,枣庄矿业集团中兴建安工程有限公司,兖矿东华建设有限公司,0
1650,8a8180858009115f01801d4e5ac87933.pdf,SNZB-XKQJ-D20222-0009 ,山东省邱集煤矿有限公司 2022 年 11、13 煤顶,,,1
1651,8a8180858027de7901803a4022172755.pdf,SNZB-LXLL-D20223-0034 ,鲁西矿业李楼煤业刮板机变频器维修招标项目（二次） ,,,1
1652,8a818085803aa363018049fbb0e87753.pdf, SNZB-LZWZ-D20221-0080   ,2022 年山能物资公司鲁中分公司大宗物资（煤矿井下自动隔爆装置） ,弗兰克工业技术（山东）有限公司,山东德马格重工有限公司,0
1653,8a818085804bb9a801804f0b3cb31490.pdf,SNZB-LXGS-D20223-0060 ,鲁西矿业唐口煤业矿用智能变频局部通风系统采, 山西巨龙风机有限公司,运城市安宏节能防爆风机有限公司,1
1654,8a818085804bb9a80180508c036d4235.pdf, SNZB-XKSC-D20221-0077 ,  新汶矿业集团有限责任公司孙村煤矿东边界断层煤柱安全评,,,0
1655,8a8180858050f83101805999b0893b41.pdf, SNZB-LZWZ-D20221-0105   ,  鲁中分公司邱集煤矿井下变电所远程监控系统招标采购   ,上海山源电子科技股份有限公司,南京弘毅电气自动化有限公司,0
1656,8a8180858050f831018059d137923f80.pdf,SNZB-ZKJT-D20226-0093 ,山东能源集团（枣庄）物商有限公司枣矿综合物流园一期储配,山东齐鲁城市建设管理有限公司,通用技术集团工程设计有限公司,0
1657,8a8180858050f83101806eadda354436.pdf,SNZB-SNJT-D20226-0039  ,山东能源渤中海上风电 B 场址工程 EPC 总承包项目 ,中国电建集团华东勘测设计研究院有限公司,山东电力工程咨询院有限公司,0
1658,8a8180858050f83101806f4ff8706502.pdf, SNZB-LZWZ-D20222-0022   ,  山东能源集团物资有限公司鲁中分公司 2022 年（冲压弯头、法兰、快速,青岛世纪翔通管业有限公司,山东金钻金属制品有限公司,0
1659,8a8180858050f83101807657c1687b46.pdf,SNZB-XKFW-D20221-0136   ,新汶矿业集团有限责任公司生产服务分公司 2022 年度汽车运输,泰安瑞通运输有限责任公司,宁夏金驰乐物流有限公司,0
