,Unnamed: 0,url,url_pdf
23,23,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16622.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a01843139612b1c51&page=1
24,24,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16621.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818085842d87750184324f3255425d&page=1
25,25,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16619.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a0184324eaa0f3532&page=1
26,26,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16618.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818083842d80480184324ca90940ac&page=1
27,27,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16617.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a0184321b91042bab&page=1
28,28,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16613.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818081842d80ce0184313d07b024d7&page=1
29,29,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16612.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818081842d80ce018431b1b2c828b0&page=1
30,30,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16611.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a018431ceec73234d&page=1
31,31,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16610.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818085842d8775018431cb4cba3135&page=1
32,32,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16609.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818085842d8775018431c7141d3047&page=1
33,33,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16602.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818081842d80ce01843107cf761d89&page=1
34,34,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16601.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a018430f1695813db&page=1
35,35,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16600.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818085842d8775018430e5fa4118ff&page=1
36,36,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16599.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a018430fcac4c15d0&page=1
37,37,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16598.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818081842d80ce018430db49e5173f&page=1
38,38,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16597.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818085842d8775018430d607a81744&page=1
39,39,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16596.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818081842d80ce018430c6c3eb0fbf&page=1
40,40,http://snzb.minegoods.com/sdny_winningperson/2022-11-01/16595.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818084842d815a0184310e03861780&page=1
41,41,http://snzb.minegoods.com/sdny_winningperson/2022-10-31/16588.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818423394601842d3172a341ef&page=1
42,42,http://snzb.minegoods.com/sdny_winningperson/2022-10-31/16587.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818423394601842d504cd14461&page=1
43,43,http://snzb.minegoods.com/sdny_winningperson/2022-10-31/16578.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808584233f1801842baa11152f66&page=1
44,44,http://snzb.minegoods.com/sdny_winningperson/2022-10-31/16577.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818423394601842bc11b5a259b&page=1
45,45,http://snzb.minegoods.com/sdny_winningperson/2022-10-31/16576.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818423394601842bc534f425f7&page=1
46,46,http://snzb.minegoods.com/sdny_winningperson/2022-10-31/16571.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808584233f1801842b7535622a4d&page=1
47,47,http://snzb.minegoods.com/sdny_winningperson/2022-10-30/16569.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a818083842338be018426d153040eae&page=1
48,48,http://snzb.minegoods.com/sdny_winningperson/2022-10-29/16567.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de9401842178b6c65d6f&page=1
